date,total_usd_millions,cumulative_usd_millions
2024-10-16,458.5,20197.099999999984
2024-10-17,470.5,20667.599999999984
2024-10-18,273.7,20941.299999999985
2024-10-19,0.0,20941.299999999985
2024-10-20,0.0,20941.299999999985
2024-10-21,294.3,21235.599999999984
2024-10-22,-79.1,21156.499999999985
2024-10-23,192.4,21348.899999999987
2024-10-24,188.0,21536.899999999987
2024-10-25,402.0,21938.899999999987
2024-10-26,0.0,21938.899999999987
2024-10-27,0.0,21938.899999999987
2024-10-28,479.4,22418.29999999999
2024-10-29,870.1,23288.399999999987
2024-10-30,893.3,24181.699999999986
2024-10-31,32.3,24213.999999999985
2024-11-01,-54.9,24159.099999999984
2024-11-02,0.0,24159.099999999984
2024-11-03,0.0,24159.099999999984
2024-11-04,-541.1,23617.999999999985
2024-11-05,-116.8,23501.199999999986
2024-11-06,621.9,24123.099999999988
2024-11-07,1373.8,25496.899999999987
2024-11-08,293.4,25790.29999999999
2024-11-09,0.0,25790.29999999999
2024-11-10,0.0,25790.29999999999
2024-11-11,1114.1,26904.399999999987
2024-11-12,817.5,27721.899999999987
2024-11-13,510.1,28231.999999999985
2024-11-14,-400.7,27831.299999999985
2024-11-15,-370.0,27461.299999999985
2024-11-16,0.0,27461.299999999985
2024-11-17,0.0,27461.299999999985
2024-11-18,254.8,27716.099999999984
2024-11-19,829.5,28545.599999999984
2024-11-20,773.4,29318.999999999985
2024-11-21,1005.1,30324.099999999984
2024-11-22,490.3,30814.399999999983
2024-11-23,0.0,30814.399999999983
2024-11-24,0.0,30814.399999999983
2024-11-25,-435.3,30379.099999999984
2024-11-26,-122.8,30256.299999999985
2024-11-27,103.0,30359.299999999985
2024-11-28,0.0,30359.299999999985
2024-11-29,320.0,30679.299999999985
2024-11-30,0.0,30679.299999999985
2024-12-01,0.0,30679.299999999985
2024-12-02,353.6,31032.899999999983
2024-12-03,676.0,31708.899999999983
2024-12-04,556.8,32265.699999999983
2024-12-05,766.7,33032.39999999998
2024-12-06,376.6,33408.99999999998
2024-12-07,0.0,33408.99999999998
2024-12-08,0.0,33408.99999999998
2024-12-09,479.1,33888.09999999998
2024-12-10,438.5,34326.59999999998
2024-12-11,223.1,34549.699999999975
2024-12-12,597.5,35147.199999999975
2024-12-13,428.9,35576.09999999998
2024-12-14,0.0,35576.09999999998
2024-12-15,0.0,35576.09999999998
2024-12-16,636.9,36212.99999999998
2024-12-17,493.9,36706.89999999998
2024-12-18,275.3,36982.19999999998
2024-12-19,-671.9,36310.29999999998
2024-12-20,-277.0,36033.29999999998
2024-12-21,0.0,36033.29999999998
2024-12-22,0.0,36033.29999999998
2024-12-23,-226.5,35806.79999999998
2024-12-24,-338.4,35468.39999999998
2024-12-25,0.0,35468.39999999998
2024-12-26,475.2,35943.59999999998
2024-12-27,-287.9,35655.699999999975
2024-12-28,0.0,35655.699999999975
2024-12-29,0.0,35655.699999999975
2024-12-30,-415.1,35240.59999999998
2024-12-31,5.3,35245.89999999998
2025-01-01,0.0,35245.89999999998
2025-01-02,-242.3,35003.59999999998
2025-01-03,908.1,35911.699999999975
2025-01-04,0.0,35911.699999999975
2025-01-05,0.0,35911.699999999975
2025-01-06,978.6,36890.299999999974
2025-01-07,52.4,36942.699999999975
2025-01-08,-568.8,36373.89999999997
2025-01-09,0.0,36373.89999999997
2025-01-10,-149.4,36224.49999999997
2025-01-11,0.0,36224.49999999997
2025-01-12,0.0,36224.49999999997
2025-01-13,-284.1,35940.39999999997
2025-01-14,-209.8,35730.59999999997
2025-01-15,755.1,36485.69999999997
2025-01-16,626.1,37111.79999999997
2025-01-17,1072.8,38184.59999999997
2025-01-18,0.0,38184.59999999997
2025-01-19,0.0,38184.59999999997
2025-01-20,0.0,38184.59999999997
2025-01-21,802.6,38987.19999999997
2025-01-22,248.7,39235.899999999965
2025-01-23,188.7,39424.59999999996
2025-01-24,517.7,39942.29999999996
2025-01-25,0.0,39942.29999999996
2025-01-26,0.0,39942.29999999996
2025-01-27,-457.6,39484.69999999996
2025-01-28,18.4,39503.09999999996
2025-01-29,92.0,39595.09999999996
2025-01-30,588.1,40183.19999999996
2025-01-31,318.6,40501.79999999996
2025-02-01,0.0,40501.79999999996
2025-02-02,0.0,40501.79999999996
2025-02-03,-234.4,40267.39999999996
2025-02-04,340.7,40608.099999999955
2025-02-05,66.4,40674.499999999956
2025-02-06,-140.2,40534.29999999996
2025-02-07,171.3,40705.59999999996
2025-02-08,0.0,40705.59999999996
2025-02-09,0.0,40705.59999999996
2025-02-10,-186.3,40519.29999999996
2025-02-11,-56.7,40462.59999999996
2025-02-12,-251.0,40211.59999999996
2025-02-13,-157.8,40053.79999999996
2025-02-14,66.2,40119.999999999956
2025-02-15,0.0,40119.999999999956
2025-02-16,0.0,40119.999999999956
2025-02-17,0.0,40119.999999999956
2025-02-18,-60.7,40059.29999999996
2025-02-19,-71.2,39988.09999999996
2025-02-20,-364.8,39623.29999999996
2025-02-21,-62.9,39560.39999999996
2025-02-22,0.0,39560.39999999996
2025-02-23,0.0,39560.39999999996
2025-02-24,-565.9,38994.499999999956
2025-02-25,-1113.7,37880.79999999996
2025-02-26,-757.8,37122.999999999956
2025-02-27,-275.9,36847.099999999955
2025-02-28,94.3,36941.39999999996
2025-03-01,0.0,36941.39999999996
2025-03-02,0.0,36941.39999999996
2025-03-03,-74.2,36867.19999999996
2025-03-04,-143.5,36723.69999999996
2025-03-05,-38.3,36685.39999999996
2025-03-06,-134.3,36551.099999999955
2025-03-07,-409.3,36141.79999999995
2025-03-08,0.0,36141.79999999995
2025-03-09,0.0,36141.79999999995
2025-03-10,-372.5,35769.29999999995
2025-03-11,-396.3,35372.99999999995
2025-03-12,13.3,35386.29999999995
2025-03-13,-143.4,35242.89999999995
2025-03-14,41.3,35284.19999999995
2025-03-15,0.0,35284.19999999995
2025-03-16,0.0,35284.19999999995
2025-03-17,274.6,35558.79999999995
2025-03-18,209.1,35767.89999999995
2025-03-19,11.8,35779.69999999995
2025-03-20,165.7,35945.39999999995
2025-03-21,83.1,36028.49999999995
2025-03-22,0.0,36028.49999999995
2025-03-23,0.0,36028.49999999995
2025-03-24,79.7,36108.199999999946
2025-03-25,26.8,36134.99999999995
2025-03-26,89.6,36224.59999999995
2025-03-27,81.7,36306.299999999945
2025-03-28,-94.9,36211.39999999994
2025-03-29,0.0,36211.39999999994
2025-03-30,0.0,36211.39999999994
2025-03-31,-71.2,36140.199999999946
2025-04-01,-157.8,35982.39999999994
2025-04-02,220.8,36203.199999999946
2025-04-03,-99.8,36103.39999999994
2025-04-04,-64.9,36038.49999999994
2025-04-05,0.0,36038.49999999994
2025-04-06,0.0,36038.49999999994
2025-04-07,-109.2,35929.299999999945
2025-04-08,-328.0,35601.299999999945
2025-04-09,-127.2,35474.09999999995
2025-04-10,-149.5,35324.59999999995
2025-04-11,-1.0,35323.59999999995
2025-04-12,0.0,35323.59999999995
2025-04-13,0.0,35323.59999999995
2025-04-14,1.5,35325.09999999995
2025-04-15,76.4,35401.49999999995
2025-04-16,-169.8,35231.699999999946
2025-04-17,106.9,35338.59999999995
2025-04-18,0.0,35338.59999999995
2025-04-19,0.0,35338.59999999995
2025-04-20,0.0,35338.59999999995
2025-04-21,387.4,35725.99999999995
2025-04-22,936.5,36662.49999999995
2025-04-23,917.0,37579.49999999995
2025-04-24,442.0,38021.49999999995
2025-04-25,380.0,38401.49999999995
2025-04-26,0.0,38401.49999999995
2025-04-27,0.0,38401.49999999995
